Fold,MinGain,Sim,Split,Category,Total,Banned
2,200,3,dev,illicit,204354,181272
2,200,3,test,illicit,204320,181119
2,200,3,dev,licit,74620,1137
2,200,3,test,licit,75089,1347
3,50,1,dev,held_out,438,0
3,50,1,test,held_out,438,2
3,50,1,dev,illicit,204353,203978
3,50,1,test,illicit,204330,203941
3,50,1,dev,licit,74623,31831
3,50,1,test,licit,75079,32235
3,50,2,dev,held_out,438,0
3,50,2,test,held_out,438,2
3,50,2,dev,illicit,204353,204006
3,50,2,test,illicit,204330,203961
3,50,2,dev,licit,74623,32274
3,50,2,test,licit,75079,32680
3,50,3,dev,held_out,438,0
3,50,3,test,held_out,438,2
3,50,3,dev,illicit,204353,204006
3,50,3,test,illicit,204330,203961
3,50,3,dev,licit,74623,32127
3,50,3,test,licit,75079,32517
3,100,1,dev,held_out,438,0
3,100,1,test,held_out,438,1
3,100,1,dev,illicit,204353,199318
3,100,1,test,illicit,204330,199265
3,100,1,dev,licit,74623,12790
3,100,1,test,licit,75079,12935
3,100,2,dev,held_out,438,0
3,100,2,test,held_out,438,1
3,100,2,dev,illicit,204353,198013
3,100,2,test,illicit,204330,197885
3,100,2,dev,licit,74623,12733
3,100,2,test,licit,75079,12866
3,100,3,dev,held_out,438,0
3,100,3,test,held_out,438,1
3,100,3,dev,illicit,204353,198013
3,100,3,test,illicit,204330,197885
3,100,3,dev,licit,74623,12733
3,100,3,test,licit,75079,12866
3,200,1,dev,held_out,438,0
3,200,1,test,held_out,438,0
3,200,1,dev,illicit,204353,181096
3,200,1,test,illicit,204330,181315
3,200,1,dev,licit,74623,1157
3,200,1,test,licit,75079,1314
3,200,2,dev,held_out,438,0
3,200,2,test,held_out,438,0
3,200,2,dev,illicit,204353,191634
3,200,2,test,illicit,204330,191658
3,200,2,dev,licit,74623,1478
3,200,2,test,licit,75079,1658
3,200,3,dev,held_out,438,0
3,200,3,test,held_out,438,0
3,200,3,dev,illicit,204353,181096
3,200,3,test,illicit,204330,181315
3,200,3,dev,licit,74623,1157
3,200,3,test,licit,75079,1314
4,50,1,dev,held_out,438,0
4,50,1,test,held_out,438,1
4,50,1,dev,illicit,204313,203930
4,50,1,test,illicit,204372,204012
4,50,1,dev,licit,75103,26744
4,50,1,test,licit,74595,26716
4,50,2,dev,held_out,438,0
4,50,2,test,held_out,438,1
4,50,2,dev,illicit,204313,203902
4,50,2,test,illicit,204372,203992
4,50,2,dev,licit,75103,26188
4,50,2,test,licit,74595,26177
4,50,3,dev,held_out,438,0
4,50,3,test,held_out,438,1
4,50,3,dev,illicit,204313,203931
4,50,3,test,illicit,204372,204014
4,50,3,dev,licit,75103,27104
4,50,3,test,licit,74595,27046
4,100,1,dev,held_out,438,0
4,100,1,test,held_out,438,1
4,100,1,dev,illicit,204313,197236
4,100,1,test,illicit,204372,197522
4,100,1,dev,licit,75103,9717
4,100,1,test,licit,74595,9635
4,100,2,dev,held_out,438,0
4,100,2,test,held_out,438,1
4,100,2,dev,illicit,204313,197236
4,100,2,test,illicit,204372,197522
4,100,2,dev,licit,75103,9717
4,100,2,test,licit,74595,9635
4,100,3,dev,held_out,438,0
4,100,3,test,held_out,438,1
4,100,3,dev,illicit,204313,197236
4,100,3,test,illicit,204372,197522
4,100,3,dev,licit,75103,9717
4,100,3,test,licit,74595,9635
4,200,1,dev,held_out,438,0
4,200,1,test,held_out,438,0
4,200,1,dev,illicit,204313,191463
4,200,1,test,illicit,204372,191803
4,200,1,dev,licit,75103,1669
4,200,1,test,licit,74595,1476
4,200,2,dev,held_out,438,0
4,200,2,test,held_out,438,0
4,200,2,dev,illicit,204313,191463
4,200,2,test,illicit,204372,191803
4,200,2,dev,licit,75103,1669
4,200,2,test,licit,74595,1476
4,200,3,dev,held_out,438,0
4,200,3,test,held_out,438,0
4,200,3,dev,illicit,204313,180936
4,200,3,test,illicit,204372,181444
4,200,3,dev,licit,75103,1306
4,200,3,test,licit,74595,1176
