Fold,Split,Name,Total,Banned
0,dev,cur,440,440
0,dev,att,440,268
0,test,cur,440,440
0,test,att,441,258
1,dev,cur,440,440
1,dev,att,440,248
1,test,cur,440,440
1,test,att,441,234
2,dev,cur,440,440
2,dev,att,434,254
2,test,cur,440,440
2,test,att,441,248
3,dev,cur,440,440
3,dev,att,431,277
3,test,cur,440,440
3,test,att,438,242
4,dev,cur,440,440
4,dev,att,437,222
4,test,cur,440,440
4,test,att,437,272
